rank;french;engl;example_french;example_engl
2157;technologique;technological;;
2158;contester;challenge;;
2159;heureusement;Fortunately;;
2160;allié;ally;;
2161;couteau;knife;;
2162;épouse;marry;;
2163;sécuriser;secure;;
2164;créateur;Creator;;
2165;initialement;initially;;
2166;ceci;this;;
2167;mairie;city ​​hall;;
2168;visible;visible;;
2169;gouvernance;governance;;
2170;volontaire;voluntary;;
2171;mille;thousand;;
2172;foyer;hearth;;
2173;marseille;marseille;;
2174;provisoire;provisional;;
2175;satisfaire;satisfy;;
2176;sourir;smile;;
2177;abattre;fell;;
2178;croissant;croissant;;
2179;intense;intense;;
2180;bruit;noise;;
2181;emblématique;emblematic;;
2182;gamme;range;;
2183;évolution;evolution;;
2184;météorologique;meteorological;;
2185;communautaire;community;;
2186;claude;claude;;
2187;équipement;equipment;;
2188;plante;plant;;
2189;câ;That;;
2190;madrid;Madrid;;
2191;facebook;facebook;;
2192;défaut;default;;
2193;reprocher;to reproach;;
2194;boîte;box;;
2195;exercer;exercise;;
2196;jugement;judgement;;
2197;héro;hero;;
2198;tombe;fall;;
2199;barnier;barnier;;
2200;te;you;;
2201;hassan;hassan;;
2202;succéder;succeed;;
2203;namur;namur;;
2204;batterie;battery;;
2205;pétrole;oil;;
2206;parallèle;parallel;;
2207;julien;Julian;;
2208;didier;didier;;
2209;polémique;controversy;;
2210;sixième;sixth;;
2211;doux;soft;;
2212;sécuritaire;safe;;
2213;marque;brand;;
2214;nintendo;nintendo;;
2215;négocier;negotiate;;
2216;renforcement;reinforcement;;
2217;sacrer;to consecrate;;
2218;instagram;instagram;;
2219;prétendre;pretend;;
2220;pascal;pascal;;
2221;tester;test;;
2222;couverture;blanket;;
2223;demeurer;remain;;
2224;game;game;;
2225;progression;progression;;
2226;gouvernemental;governmental;;
2227;solliciter;solicit;;
2228;xbox;xbox;;
2229;condamnation;conviction;;
2230;effectivement;Effectively;;
2231;samuel;samuel;;
2232;suffisamment;enough;;
2233;critère;criteria;;
2234;moral;moral;;
2235;rivière;river;;
2236;douze;twelve;;
2237;immeuble;building;;
2238;relais;relay;;
2239;andré;andre;;
2240;cinéaste;filmmaker;;
2241;électronique;electronic;;
2242;pleinement;fully;;
2243;taylor;taylor;;
2244;fameux;famous;;
2245;révolution;revolution;;
2246;échanger;to exchange;;
2247;tunisien;Tunisian;;
2248;congo;Congo;;
2249;enlever;to remove;;
2250;george;george;;
2251;bancaire;banking;;
2252;panneau;sign;;
2253;matinée;morning;;
2254;vêtement;garment;;
2255;rumeur;rumor;;
2256;émotion;emotion;;
2257;valider;to validate;;
2258;constant;constant;;
2259;assumer;to assume;;
2260;précision;precision;;
2261;analyser;analyze;;
2262;guide;guide;;
2263;légèrement;slightly;;
2264;humaine;human;;
2265;sinon;Otherwise;;
2266;rupture;breakup;;
2267;trophée;trophy;;
2268;évident;obvious;;
2269;souveraineté;sovereignty;;
2270;exploiter;exploit;;
2271;procédé;process;;
2272;pratiquer;practice;;
2273;instance;instance;;
2274;collaborateur;collaborator;;
2275;pib;gdp;;
2276;conscient;aware;;
2277;william;William;;
2278;survivre;survive;;
2279;ahmed;Ahmed;;
2280;diversité;diversity;;
2281;sensible;sensitive;;
2282;extrême;extreme;;
2283;écouter;listen;;
2284;conséquent;consequently;;
2285;avertir;warn;;
2286;mariage;marriage;;
2287;tennis;tennis;;
2288;glace;ice;;
2289;der;der;;
2290;alimenter;feed;;
2291;belges;Belgian;;
2292;diplomatie;diplomacy;;
2293;légende;legend;;
2294;peter;peter;;
2295;dégager;clear;;
2296;simon;Simon;;
2297;sélectionneur;coach;;
2298;souci;worry;;
2299;respectivement;respectively;;
2300;dessiner;draw;;
2301;kilogramme;kilogram;;
2302;universitaire;university;;
2303;homologue;counterpart;;
2304;inconnu;unknown;;
2305;maman;Mom;;
2306;livraison;delivery;;
2307;foulée;stride;;
2308;morceau;piece;;
2309;cycliste;cyclist;;
2310;amende;fine;;
2311;dimension;dimension;;
2312;bonheur;happiness;;
2313;constructeur;constructor;;
2314;ambitieux;ambitious;;
2315;midi;noon;;
2316;distribuer;distribute;;
2317;alexandre;alexander;;
2318;adversaire;opponent;;
2319;reine;queen;;
2320;briser;break;;
2321;perturber;disturb;;
2322;justement;exactly;;
2323;in;in;;
2324;incontournable;unavoidable;;
2325;beauté;beauty;;
2326;islamiste;Islamist;;
2327;visiblement;visibly;;
2328;design;design;;
2329;circonscription;constituency;;
2330;pêche;fishing;;
2331;prêter;lend;;
2332;diviser;divide;;
2333;repartir;to share out;;
2334;nice;nice;;
2335;sec;dry;;
2336;surveiller;to watch;;
2337;baisser;lower;;
2338;maintien;maintenance;;
2339;comédie;comedy;;
2340;mons;mons;;
2341;pape;pope;;
2342;connecter;connect;;
2343;restauration;restoration;;
2344;recueillir;collect;;
2345;bronze;bronze;;
2346;prolongation;extension;;
2347;dater;date;;
2348;nier;deny;;
2349;est;East;;
2350;ignorer;ignore;;
2351;convier;invite;;
2352;échec;failure;;
2353;brigade;brigade;;
2354;repas;meal;;
2355;descendre;to come down;;
2356;perspective;perspective;;
2357;université;university;;
2358;documentaire;documentary;;
2359;ordonner;order;;
2360;dominique;dominique;;
2361;opérationnel;operational;;
2362;trentaine;thirty;;
2363;fraude;fraud;;
2364;recommandation;recommendation;;
2365;organisme;body;;
2366;xavier;xavier;;
2367;pc;pc;;
2368;fermé;farm;;
2369;transférer;transfer;;
2370;carbone;carbon;;
2371;dinar;dinar;;
2372;grimper;climb;;
2373;lycée;high school;;
2374;vaudois;vaudois;;
2375;résider;reside;;
2376;fleur;flower;;
2377;corruption;corruption;;
2378;dessus;above;;
2379;garantie;guarantee;;
2380;temporaire;temporary;;
2381;facture;Invoice;;
2382;transparence;transparency;;
2383;rafah;rafah;;
2384;elon;elon;;
2385;récompense;reward;;
2386;emporter;take away;;
2387;inquiétude;worry;;
2388;sonko;sonko;;
2389;covid;covid;;
2390;passe;pass;;
2391;invite;guest;;
2392;turquie;Türkiye;;
2393;renouveler;renew;;
2394;jonathan;Jonathan;;
2395;kim;kim;;
2396;autrement;otherwise;;
2397;richesse;wealth;;
2398;valérie;Valerie;;
2399;opérateur;operator;;
2400;sénat;senate;;
2401;boutique;shop;;
2402;représentation;representation;;
2403;sursis;reprieve;;
2404;open;open;;
2405;luc;luke;;
2406;gars;guys;;
2407;riverain;riverside;;
2408;relancer;relaunch;;
2409;étage;floor;;
2410;rêver;dream;;
2411;éric;Eric;;
2412;jambe;leg;;
2413;orange;orange;;
2414;abriter;shelter;;
2415;bébé;baby;;
2416;feuille;leaf;;
2417;chômage;unemployment;;
2418;accélérer;accelerate;;
2419;coordination;coordination;;
2420;précisément;precisely;;
2421;motiver;motivate;;
2422;provenance;provenance;;
2423;anthony;anthony;;
2424;antoine;antoine;;
2425;perspectif;perspective;;
2426;univers;universe;;
2427;constitutionnel;constitutional;;
2428;tempête;storm;;
2429;conjoint;spouse;;
2430;matériau;material;;
2431;trésor;treasure;;
2432;médiatique;media;;
2433;tv;TV;;
2434;couvert;covered;;
2435;confédération;confederation;;
2436;navir;ship;;
2437;prisonnier;prisoner;;
2438;solaire;solar;;
2439;quasiment;almost;;
2440;nourriture;food;;
2441;foot;football;;
2442;rose;pink;;
2443;inférieur;lower;;
2444;franchise;franchise;;
2445;ptb;ptb;;
2446;vigilance;vigilance;;
2447;douleur;pain;;
2448;mike;mike;;
2449;espagne;Spain;;
2450;sensibilisation;awareness;;
2451;luxe;luxury;;
2452;set;set;;
2453;accomplir;accomplish;;
2454;verre;glass;;
2455;obligation;obligation;;
2456;bouger;to move;;
2457;accéder;access;;
2458;black;black;;
2459;enchaîner;chain;;
2460;exploser;explode;;
2461;cadeau;gift;;
2462;décevoir;disappoint;;
2463;toronto;toronto;;
2464;pdg;CEO;;
2465;axe;axis;;
2466;collective;collective;;
2467;pénurie;shortage;;
2468;jury;jury;;
2469;transaction;transaction;;
2470;disney;disney;;
2471;extraordinaire;extraordinary;;
2472;gilles;gilles;;
2473;arrière;back;;
2474;auquel;to which;;
2475;détermination;determination;;
2476;amadou;tinder;;
2477;masse;mass;;
2478;terrorisme;terrorism;;
2479;pencher;lean;;
2480;world;world;;
2481;indispensable;essential;;
2482;avouer;to confess to;;
2483;bénéficiaire;beneficiary;;
2484;énormément;enormously;;
2485;st;st;;
2486;francis;francis;;
2487;mécanisme;mechanism;;
2488;sûreté;safety;;
2489;quai;dock;;
2490;renoncer;give up;;
2491;quitte;leaves;;
2492;unir;unite;;
2493;prestigieux;prestigious;;
2494;carlos;carlos;;
2495;crainte;fear;;
2496;préfet;prefect;;
2497;définitif;final;;
2498;verge;yard;;
2499;compagnon;companion;;
2500;sophie;sophie;;
2501;obligatoire;OBLIGATORY;;
2502;fenêtre;window;;
2503;musicien;musician;;
2504;bar;bar;;
2505;cent;hundred;;
2506;nationalité;Nationality;;
2507;regrouper;group;;
2508;célébration;celebration;;
2509;ii;ii;;
2510;audience;hearing;;
2511;habituer;get used to;;
2512;pensée;thought;;
2513;usine;factory;;
2514;stable;stable;;
2515;sall;sall;;
2516;onze;eleven;;
2517;sien;his;;
2518;recruter;recruit;;
2519;appuyer;press;;
2520;définitivement;definitely;;
2521;animer;animate;;
2522;usage;use;;
2523;angeles;angeles;;
2524;résumer;to summarize;;
2525;opter;opt;;
2526;motif;pattern;;
2527;licence;license;;
2528;visuel;visual;;
2529;violation;breach;;
2530;régner;reign;;
2531;fabriquer;make;;
2532;magnifique;Magnificent;;
2533;profondément;deeply;;
2534;séduire;seduce;;
2535;cfa;cfa;;
2536;gendarme;constable;;
2537;palestine;Palestine;;
2538;tokyo;tokyo;;
2539;titulaire;holder;;
2540;amazon;amazon;;
2541;exhorter;urge;;
2542;district;district;;
2543;trou;hole;;
2544;plastique;plastic;;
2545;gérald;gerald;;
2546;mayotte;mayotte;;
2547;piscine;pool;;
2548;démission;resignation;;
2549;ski;ski;;
2550;zelensky;zelensky;;
2551;arrestation;arrest;;
2552;togo;togo;;
2553;modification;modification;;
2554;web;web;;
2555;présider;preside;;
2556;convoquer;convene;;
2557;veiller;watch over;;
2558;dormir;sleep;;
2559;impôt;tax;;
2560;filmer;film;;
2561;suprême;supreme;;
2562;triste;sad;;
2563;alex;alex;;
2564;absence;absence;;
2565;guinéen;Guinean;;
2566;ou;Or;;
2567;louer;to rent out;;
2568;syndical;union;;
2569;fierté;pride;;
2570;opposition;opposition;;
2571;lyon;Lyon;;
2572;concurrent;competitor;;
2573;compatriote;compatriot;;
2574;éclater;burst;;
2575;chuter;fall;;
2576;toit;roof;;
2577;spectaculaire;spectacular;;
2578;parcourir;browse;;
2579;inciter;encourage;;
2580;master;master;;
2581;pic;peak;;
2582;thématique;thematic;;
2583;fournisseur;supplier;;
2584;tim;tim;;
2585;quinze;fifteen;;
2586;aboutir;achieve;;
2587;file;file;;
2588;instant;moment;;
2589;chauffeur;driver;;
2590;rebelle;rebel;;
2591;réellement;really;;
2592;locataire;tenant;;
2593;positionner;position;;
2594;courage;courage;;
2595;confrère;colleague;;
2596;initial;initial;;
2597;briller;shine;;
2598;armer;arm;;
2599;présumer;presume;;
2600;nâ;n / A;;
2601;chapitre;chapter;;
2602;chris;Chris;;
2603;victor;Victor;;
2604;apple;apple;;
2605;cycle;cycle;;
2606;cheval;horse;;
2607;location;rental;;
2608;illustrer;illustrate;;
2609;reculer;to move back;;
2610;conter;tell;;
2611;contrainte;constraint;;
2612;nouveauté;novelty;;
2613;porteur;carrier;;
2614;masculin;male;;
2615;hiver;winter;;
2616;soigner;cure;;
2617;dakar;dakar;;
2618;inaugurer;inaugurate;;
2619;netanyahu;netanyahu;;
2620;alliance;alliance;;
2621;sombre;dark;;
2622;carburant;fuel;;
2623;identité;identify;;
2624;bombardement;bombardment;;
2625;boulevard;boulevard;;
2626;sain;healthy;;
2627;innovant;innovative;;
2628;mark;mark;;
2629;peinture;paint;;
2630;hasard;chance;;
2631;pékin;Beijing;;
2632;faye;faye;;
2633;mario;mario;;
2634;monte;mounted;;
2635;trajet;route;;
2636;lecteur;drive;;
2637;stage;internship;;
2638;tiktok;tiktok;;
2639;maîtriser;master;;
2640;remco;remco;;
2641;destin;fate;;
2642;lâcher;let go;;
2643;beal;beautiful;;
2644;turc;Turkish;;
2645;initier;initiate;;
2646;bulletin;newsletter;;
2647;élargir;expand;;
2648;branche;branch;;
2649;frontalier;border;;
2650;rabat;Rabat;;
2651;monument;monument;;
2652;exactement;Exactly;;
2653;amérique;America;;
2654;pension;pension;;
2655;probable;likely;;
2656;pauvre;poor;;
2657;zéro;zero;;
2658;obstacle;obstacle;;
2659;voyager;to travel;;
2660;ferroviaire;railway;;
2661;fixe;fixed;;
2662;aussi;Also;;
2663;influence;influence;;
2664;génocide;genocide;;
2665;casablanca;Casablanca;;
2666;progressivement;gradually;;
2667;entrepreneur;entrepreneur;;
2668;revendiquer;claim;;
2669;fcfa;fcfa;;
2670;révision;revision;;
2671;terrestre;terrestrial;;
2672;lauréat;winner;;
2673;apparition;appearance;;
2674;camérer;camera;;
2675;italie;Italy;;
2676;destruction;destruction;;
2677;éducatif;educational;;
2678;subvention;grant;;
2679;brûler;burn;;
2680;combattre;combat;;
2681;relativement;relatively;;
2682;manuel;manual;;
2683;essai;essay;;
2684;bruges;bruges;;
2685;décor;decor;;
2686;assurance;insurance;;
2687;sensibiliser;to raise awareness;;
2688;prochainement;shortly;;
2689;motion;motion;;
2690;carrefour;crossroads;;
2691;boeing;boeing;;
2692;exigence;requirement;;
2693;résilience;resilience;;
2694;sourire;smile;;
2695;revers;reverse;;
2696;brésil;Brazil;;
2697;magistrat;magistrate;;
2698;fonctionnaire;official;;
2699;gérard;gerard;;
2700;playstation;playstation;;
2701;liégeois;Liège;;
2702;mesurer;measure;;
2703;chanter;sing;;
2704;collaborer;collaborate;;
2705;isolé;isolated;;
2706;refus;refusal;;
2707;pari;bet;;
2708;luxembourgeois;Luxembourgish;;
2709;pen;pen;;
2710;éliminatoire;elimination;;
2711;programmer;program;;
2712;culte;worship;;
2713;ecolo;eco;;
2714;pacifique;peaceful;;
2715;débarquer;land;;
2716;pur;pure;;
2717;handicap;disability;;
2718;écologiste;ecologist;;
2719;visa;Visa;;
2720;casting;casting;;
2721;logistique;logistics;;
2722;brussels;Brussels;;
2723;plaire;to please;;
2724;combien;How much;;
2725;hectare;hectare;;
2726;essentiellement;basically;;
2727;fêter;celebrate;;
2728;bibliothèque;library;;
2729;remarquable;outstanding;;
2730;show;show;;
2731;félix;felix;;
2732;loyer;rent;;
2733;congé;leave;;
2734;croix;cross;;
2735;smartphone;smartphone;;
2736;urgent;urgent;;
2737;sonore;sound;;
2738;défiler;scroll;;
2739;biodiversité;biodiversity;;
2740;mention;mention;;
2741;clinique;clinical;;
2742;filière;sector;;
2743;habitude;habit;;
2744;inquiet;worried;;
2745;refaire;redo;;
2746;benoît;benedict;;
2747;estival;summer;;
2748;défensif;defensive;;
2749;catherine;Catherine;;
2750;indien;Indian;;
2751;trudeau;trudeau;;
2752;clôture;fence;;
2753;casque;helmet;;
2754;sensation;sensation;;
2755;pilier;pillar;;
2756;chronique;chronic;;
2757;détecter;detect;;
2758;ambassadeur;ambassador;;
2759;vulnérable;vulnerable;;
2760;viande;meat;;
2761;soupçonner;suspect;;
2762;symbolique;symbolic;;
2763;assemblée;assembly;;
2764;phare;lighthouse;;
2765;poisson;fish;;
2766;signal;signal;;
2767;repos;rest;;
2768;aîné;elder;;
2769;offre;offer;;
2770;territorial;territorial;;
2771;récolte;harvest;;
2772;frank;frank;;
2773;autonome;autonomous;;
2774;renverser;to spill;;
2775;disque;disk;;
2776;intituler;title;;
2777;amoureux;lover;;
2778;bassin;basin;;
2779;monnaie;cash;;
2780;alerter;alert;;
2781;saoudite;Saudi;;
2782;spatial;spatial;;
2783;amélioration;improvement;;
2784;serrer;to squeeze;;
2785;lr;lr;;
2786;strict;strict;;
2787;endommager;cause damage;;
2788;cpa;cpa;;
2789;ambiance;atmosphere;;
2790;île;island;;
2791;industrie;industry;;
2792;bouteille;bottle;;
2793;élever;raise;;
2794;boire;drink;;
2795;alger;algiers;;
2796;libreville;libreville;;
2797;automobiliste;motorist;;
2798;censure;censorship;;
2799;console;console;;
2800;résister;resist;;
2801;stress;stress;;
2802;radical;radical;;
2803;vaincre;defeat;;
2804;récompenser;reward;;
2805;ticket;ticket;;
2806;fonctionnalité;functionality;;
2807;terrible;terrible;;
2808;stock;stock;;
2809;confort;comfort;;
2810;meurtrier;murderer;;
2811;vedette;featured;;
2812;burundi;burundi;;
2813;galerie;gallery;;
2814;censé;supposed;;
2815;sauvage;savage;;
2816;rédaction;writing;;
2817;guy;guy;;
2818;congolais;Congolese;;
2819;marcher;to walk;;
2820;figure;figure;;
2821;collectivité;community;;
2822;moncton;moncton;;
2823;psychologique;psychological;;
2824;répartir;to share out;;
2825;sam;sat;;
2826;révélation;revelation;;
2827;mêler;mix;;
2828;fumée;smoke;;
2829;attaquant;attacker;;
2830;septième;seventh;;
2831;abdelmadjid;abdelmadjid;;
2832;pétrolier;oil tanker;;
2833;céline;celine;;
2834;demandeur;applicant;;
2835;julie;julie;;
2836;marchand;merchant;;
2837;concéder;grant;;
2838;conversation;conversation;;
2839;crier;shout;;
2840;commandant;commander;;
2841;composition;composition;;
2842;diomaye;diomaye;;
2843;kremlin;Kremlin;;
2844;blocage;blocking;;
2845;genevois;Geneva;;
2846;tunnel;tunnel;;
2847;rome;Rome;;
2848;absent;absent;;
2849;alternative;alternative;;
2850;convenir;agree;;
2851;contenter;satisfy;;
2852;burkinabè;Burkinabé;;
2853;lfi;lfi;;
2854;oscar;Oscar;;
2855;active;active;;
2856;kylian;kylian;;
2857;susceptible;susceptible;;
2858;navire;ship;;
2859;normalement;Normally;;
2860;affrontement;confrontation;;
2861;mériter;deserve;;
2862;magazine;magazine;;
2863;microsoft;microsoft;;
2864;ultime;ultimate;;
2865;dresser;dress;;
2866;berlin;Berlin;;
2867;modérer;moderate;;
2868;projection;projection;;
2869;évènement;event;;
2870;stupéfiant;amazing;;
2871;ouvrage;work;;
2872;baie;bay;;
2873;box;box;;
2874;haine;hate;;
2875;écouler;flow;;
2876;massacre;massacre;;
2877;princ;principle;;
2878;bachar;bachar;;
2879;carton;cardboard;;
2880;recul;hindsight;;
2881;ouverture;opening;;
2882;cheffe;chef;;
2883;exécutif;executive;;
2884;exportation;export;;
2885;infraction;offense;;
2886;joseph;joseph;;
2887;programmation;programming;;
2888;poche;poached;;
2889;one;one;;
2890;caméra;camera;;
2891;filiale;subsidiary;;
2892;khan;khan;;
2893;campus;campus;;
2894;cache;hidden;;
2895;possession;possession;;
2896;recrutement;recruitment;;
2897;auxquels;to which;;
2898;bombe;bomb;;
2899;jan;jan;;
2900;concrétiser;concretize;;
2901;scandale;scandal;;
2902;format;format;;
2903;intégré;integrated;;
2904;digital;digital;;
2905;trente;thirty;;
2906;pauvreté;poverty;;
2907;revue;review;;
2908;planter;plant;;
2909;médecine;medicine;;
2910;fréquent;frequent;;
2911;quinzaine;fortnight;;
2912;tchad;chad;;
2913;recenser;census;;
2914;stimuler;stimulate;;
2915;sénateur;senator;;
2916;sentier;path;;
2917;roland;roland;;
2918;togolais;Togolese;;
2919;ouvrier;worker;;
2920;existant;existing;;
2921;banlieu;suburb;;
2922;pareil;The same;;
2923;délivrer;issue;;
2924;arnaud;arnaud;;
2925;cisjordanie;West Bank;;
2926;adaptation;adaptation;;
2927;explication;explanation;;
2928;dessin;drawing;;
2929;musk;musk;;
2930;informatique;computer science;;
2931;antonio;antonio;;
2932;suédois;Swedish;;
2933;prometteur;promising;;
2934;achever;complete;;
2935;observateur;observer;;
2936;réaffirmer;reaffirm;;
2937;atteinte;achievement;;
2938;rdc;ground floor;;
2939;matignon;matignon;;
2940;pologne;Poland;;
2941;menu;menu;;
2942;impacter;impact;;
2943;alentours;surroundings;;
2944;forfait;package;;
2945;popularité;popularity;;
2946;tragique;tragic;;
2947;millimètre;millimeter;;
2948;harcèlement;harassment;;
2949;précipitation;precipitation;;
2950;écarter;dismiss;;
2951;croître;grow;;
2952;report;postponement;;
2953;cohésion;cohesion;;
2954;amour;love;;
2955;virus;virus;;
2956;réception;reception;;
2957;réglementation;regulation;;
2958;refuge;refuge;;
2959;développeur;developer;;
2960;jet;jet;;
2961;désir;desire;;
2962;moto;motorcycle;;
2963;technicien;technician;;
2964;chrétien;Christian;;
2965;réputation;reputation;;
2966;relater;to relate;;
2967;gramme;gram;;
2968;qu;that;;
2969;clientèle;customers;;
2970;vlaams;Flemish;;
2971;asseoir;sit;;
2972;romain;Roman;;
2973;repose;rest;;
2974;suggérer;suggest;;
2975;pop;pop;;
2976;restriction;restriction;;
2977;laval;laval;;
2978;administration;administration;;
2979;agréable;pleasant;;
2980;atout;asset;;
2981;trêve;truce;;
2982;hospitalier;hospital;;
2983;argent;money;;
2984;qatar;Qatar;;
2985;digne;worthy;;
2986;contraindre;constrain;;
2987;remarque;REMARK;;
2988;verdict;verdict;;
2989;argument;argument;;
2990;urne;urn;;
2991;cinquantaine;fifty;;
2992;habitation;dwelling;;
2993;policière;policewoman;;
2994;souverain;sovereign;;
2995;milliardaire;billionaire;;
2996;fabrication;manufacturing;;
2997;yves;yves;;
2998;tromper;deceive;;
2999;quasi;almost;;
3000;bière;beer;;
3001;damas;Damascus;;
3002;harry;Harry;;
3003;tourne;turned;;
3004;privé;private;;
3005;autochtone;indigenous;;
3006;métro;metro;;
3007;échouer;fail;;
3008;pedro;pedro;;
3009;costume;suit;;
3010;taxi;Taxi;;
3011;insuffisant;insufficient;;
3012;légitime;legitimate;;
3013;ouest;west;;
3014;télé;TV;;
3015;courrier;mail;;
3016;couche;layer;;
3017;expertise;expertise;;
3018;potentiellement;potentially;;
3019;princesse;princess;;
3020;réveiller;wake;;
3021;compagne;companion;;
3022;sony;sony;;
3023;chausser;put on;;
3024;toile;cloth;;
3025;streaming;streaming;;
3026;trancher;slice;;
3027;boisson;beverage;;
3028;buteur;scorer;;
3029;micro;microphone;;
3030;catholique;Catholic;;
3031;albert;albert;;
3032;origine;origin;;
3033;fortune;fortune;;
3034;guider;to guide;;
3035;nettement;clearly;;
3036;importance;importance;;
3037;suède;suede;;
3038;retraité;retirement;;
3039;exact;exact;;
3040;ryan;ryan;;
3041;karim;karim;;
3042;ravir;delight;;
3043;évidence;evidence;;
3044;cannes;canes;;
3045;officier;officer;;
3046;roue;wheel;;
3047;insoumis;rebellious;;
3048;brut;raw;;
3049;plaindre;complain;;
3050;stand;stand;;
3051;rétablir;restore;;
3052;and;and;;
3053;achat;purchase;;
3054;conformément;in accordance;;
3055;portable;portable;;
3056;revendication;claim;;
3057;confondre;to confuse;;
3058;levée;lifting;;
3059;rebond;bounce;;
3060;litre;liter;;
3061;barrière;barrier;;
3062;maria;maria;;
3063;papa;dad;;
3064;trio;trio;;
3065;substance;substance;;
3066;ressortissant;national;;
3067;législation;legislation;;
3068;brésilien;Brazilian;;
3069;honorer;honor;;
3070;souffrance;suffering;;
3071;lnh;nhl;;
3072;polonais;Polish;;
3073;modeste;modest;;
3074;vendeur;seller;;
3075;mortel;mortal;;
3076;interdiction;prohibition;;
3077;maximal;maximum;;
3078;henri;henry;;
3079;utilisation;use;;
3080;attacher;attach;;
3081;calcul;calculation;;
3082;réitérer;reiterate;;
3083;amie;friend;;
3084;soit;either;;
3085;diplôme;diploma;;
3086;nez;nose;;
3087;clore;close;;
3088;bertrand;bertrand;;
3089;sprint;sprint;;
3090;sputnik;sputnik;;
3091;perturbation;disturbance;;
3092;bienvenu;welcome;;
3093;comparaison;comparison;;
3094;leçon;lesson;;
3095;aggraver;aggravate;;
3096;théorie;theory;;
3097;roger;Roger;;
3098;portugal;Portugal;;
3099;content;thrilled;;
3100;foi;faith;;
3101;considérable;considerable;;
3102;constitutionnelle;constitutional;;
3103;business;business;;
3104;bardella;bardella;;
3105;mosquée;mosque;;
3106;interrompre;interrupt;;
3107;rembourser;repay;;
3108;découvrez;discover;;
3109;penalty;penalty;;
3110;abonné;subscriber;;
3111;interpréter;interpret;;
3112;renouvelable;renewable;;
3113;dépenser;spend;;
3114;inquiétant;worrying;;
3115;maîtrise;mastery;;
3116;biais;bias;;
3117;blanche;white;;
3118;mélange;blend;;
3119;motivation;motivation;;
3120;déploiement;deployment;;
3121;team;team;;
3122;sncf;sncf;;
3123;reposer;to rest;;
3124;suicide;suicide;;
3125;publicité;advertisement;;
3126;réparation;repair;;
3127;jack;jack;;
3128;tebboune;tebboune;;
3129;surprenant;surprising;;
3130;douane;customs;;
3131;dirham;dirham;;
3132;marin;marine;;
3133;honneur;honor;;
3134;las;Las;;
3135;combiner;combine;;
3136;confrontation;confrontation;;
3137;contemporain;contemporary;;
3138;stationnement;parking;;
3139;promoteur;promoter;;
3140;floride;Florida;;
3141;union;union;;
3142;vaccin;vaccine;;
3143;mécanique;mechanical;;
3144;sable;sand;;
3145;rappeur;rapper;;
3146;valoriser;value;;
3147;cheveu;hair;;
3148;alpes;Alps;;
3149;hésiter;hesitate;;
3150;basket;basketball;;
3151;mbappé;mbappé;;
3152;solidaire;united;;
3153;rappelons;let's remember;;
3154;heurter;collide;;
3155;milan;milan;;
3156;placement;investment;;
3157;glisser;slide;;
3158;ottawa;ottawa;;
3159;horizon;horizon;;
3160;paralympique;paralympic;;
3161;considérablement;considerably;;
3162;vital;vital;;
3163;sahel;sahel;;
3164;pousse;grows;;
3165;satisfaction;satisfaction;;
3166;golden;golden;;
3167;émirat;emirate;;
3168;enseigner;teach;;
3169;tactique;tactical;;
3170;alternatif;alternative;;
3171;emprunter;borrow;;
3172;habituel;usual;;
3173;portefeuille;wallet;;
3174;relayer;relay;;
3175;longueur;length;;
3176;projeter;project;;
3177;variété;variety;;
3178;profession;occupation;;
3179;sauter;jump;;
3180;pollution;pollution;;
3181;gratuitement;for free;;
3182;explosion;blast;;
3183;ceo;ceo;;
3184;étonnant;amazing;;
3185;braber;braber;;
3186;quelle;what;;
3187;phrase;sentence;;
3188;connexion;connection;;
3189;king;king;;
3190;accru;increased;;
3191;marketing;marketing;;
3192;genou;knee;;
3193;correctionnel;correctional;;
3194;répression;repression;;
3195;littérature;literature;;
3196;marco;Marco;;
3197;détourner;divert;;
3198;tragédie;tragedy;;
3199;tire;shoot;;
3200;borne;terminal;;
3201;flux;flow;;
3202;bâtir;build;;
3203;entraînement;training;;
3204;pôle;pole;;
3205;vertu;virtue;;
3206;acadien;Acadian;;
3207;marier;marry;;
3208;légume;vegetable;;
3209;miss;miss;;
3210;da;da;;
3211;délit;offense;;
3212;échevin;alderman;;
3213;redonner;give back;;
3214;encadrer;frame;;
3215;analyste;analyst;;
3216;animation;animation;;
3217;isabelle;isabelle;;
3218;wall;wall;;
3219;façade;facade;;
3220;raid;raid;;
3221;opus;opus;;
3222;migration;migration;;
3223;référendum;referendum;;
3224;joindre;join;;
3225;quâ;quâ;;
3226;sarah;Sarah;;
3227;vooruit;vooruit;;
3228;rarement;rarely;;
3229;horaire;hourly;;
3230;steven;steven;;
3231;aligner;align;;
3232;dent;tooth;;
3233;vivant;alive;;
3234;chrono;chrono;;
3235;notable;notable;;
3236;réchauffement;warming;;
3237;fragile;fragile;;
3238;cyril;cyril;;
3239;rwanda;Rwanda;;
3240;concrètement;concretely;;
3241;survie;survival;;
3242;percuter;hit;;
3243;restaurant;restaurant;;
3244;leadership;leadership;;
3245;intelligent;clever;;
3246;vi;vi;;
3247;délicat;delicate;;
3248;lice;lice;;
3249;fermement;firmly;;
3250;us;us;;
3251;partiel;partial;;
3252;remplacement;replacement;;
3253;liaison;connection;;
3254;brian;brian;;
3255;colonne;column;;
3256;compromis;compromise;;
3257;pratiquement;practically;;
3258;joli;pretty;;
3259;élaborer;elaborate;;
